question,reponse
Comment annuler mon abonnement e-Attijari ?,"Pour annuler votre abonnement e-Attijari, il vous suffit de vous rendre en agence et de demander la résiliation du service."
Quelle est la marche à suivre pour résilier e-Attijari ?,"La résiliation du service e-Attijari se fait en agence, il vous suffit de vous y rendre et de faire la demande de résiliation."
Comment mettre fin à mon abonnement e-Attijari ?,"Pour mettre fin à votre abonnement e-Attijari, rendez-vous simplement en agence et demandez la résiliation du service."
Sur quelle bourse les actions d'Attijariwafa Bank sont-elles cotées ?,"Les actions d'Attijariwafa Bank sont cotées à la Bourse de Casablanca, située au Maroc."
Où sont listées les actions d'Attijariwafa Bank ?,"Les actions d'Attijariwafa Bank sont cotées à la Bourse de Casablanca, qui se trouve au Maroc."
Quelle est la bourse où les actions d'Attijariwafa Bank sont cotées ?,"Les actions d'Attijariwafa Bank sont cotées à la Bourse de Casablanca, qui est située au Maroc."
Sur quelle bourse sont inscrites les actions d'Attijariwafa Bank ?,"Les actions d'Attijariwafa Bank sont inscrites à la Bourse de Casablanca, au Maroc."
Où puis-je trouver les actions d'Attijariwafa Bank ?,"Les actions d'Attijariwafa Bank sont disponibles à la Bourse de Casablanca, au Maroc."
À quelle bourse sont cotées les actions d'Attijariwafa Bank ?,"Les actions d'Attijariwafa Bank sont cotées à la Bourse de Casablanca, située au Maroc."
Où sont échangées les actions d'Attijariwafa Bank ?,"Les actions d'Attijariwafa Bank sont échangées à la Bourse de Casablanca, qui se trouve au Maroc."
Quel est le code ISIN de l'action Attijariwafa Bank ?,Le code ISIN de l'action Attijariwafa Bank est MA0000011926.
Quels sont les symboles Bloomberg et Reuters de l'action Attijariwafa Bank ?,Le code Bloomberg de l'action Attijariwafa Bank est ATW:MC et le code Reuters est ATW.CS.
Quel est le code ISIN de l'action Attijariwafa Bank ?,L'action Attijariwafa Bank est identifiée par le code ISIN MA0000011926.
Quel est le symbole Bloomberg de l'action Attijariwafa Bank ?,Le symbole Bloomberg de l'action Attijariwafa Bank est ATW:MC.
Quel est le symbole Reuters de l'action Attijariwafa Bank ?,Le symbole Reuters de l'action Attijariwafa Bank est ATW.CS.
Quels sont les identifiants Bloomberg et Reuters de l'action Attijariwafa Bank ?,Le code Bloomberg de l'action Attijariwafa Bank est ATW:MC et le code Reuters est ATW.CS.
Quel est le code ISIN de l'action Attijariwafa Bank ?,Le code ISIN de l'action Attijariwafa Bank est MA0000011926.
Quel est le type d'actions émis par Attijariwafa Bank ?,Attijariwafa Bank a émis des actions ordinaires nominatives.
Quel type d'actions Attijariwafa Bank a-t-elle émises ?,Attijariwafa Bank a émis des actions ordinaires nominatives.
Quels types d'actions Attijariwafa Bank a-t-elle émis ?,Attijariwafa Bank a émis des actions ordinaires nominatives.
De quel type sont les actions émises par Attijariwafa Bank ?,Les actions émises par Attijariwafa Bank sont des actions ordinaires nominatives.
Quelle est la nature des actions émises par Attijariwafa Bank ?,Attijariwafa Bank a émis des actions ordinaires nominatives.
Quel est le type d'actions émises par Attijariwafa Bank ?,Les actions émises par Attijariwafa Bank sont des actions ordinaires nominatives.
Quel type d'actions Attijariwafa Bank a-t-elle émis lors de son émission ?,Attijariwafa Bank a émis des actions ordinaires nominatives.
Combien d'actions forment le capital d'Attijariwafa Bank ?,Le capital d'Attijariwafa Bank est composé de 215 140 839 actions.
Quel est le nombre total d'actions qui composent le capital d'Attijariwafa Bank ?,Le capital d'Attijariwafa Bank est constitué de 215 140 839 actions.
De combien d'actions est constitué le capital d'Attijariwafa Bank ?,Le capital d'Attijariwafa Bank est constitué de 215 140 839 actions.
Quel est le nombre d'actions composant le capital d'Attijariwafa Bank ?,Le capital d'Attijariwafa Bank est composé de 215 140 839 actions.
Quelle est la valeur nominale de chaque action d'Attijariwafa Bank ?,La valeur nominale de chaque action d'Attijariwafa Bank est de 10 MAD.
Quelle est la valeur nominale d'une action d'Attijariwafa Bank ?,Chaque action d'Attijariwafa Bank a une valeur nominale de 10 MAD.
Combien vaut chaque action d'Attijariwafa Bank ?,Chaque action d'Attijariwafa Bank a une valeur nominale de 10 MAD.
Comment puis-je obtenir une copie du rapport de gestion ?,"Pour obtenir une copie du rapport de gestion, veuillez contacter le département de communication financière et des relations investisseurs par e-mail à l'adresse : ir@attijariwafa.com."
Comment puis-je obtenir une copie du rapport annuel ?,"Pour obtenir une copie du rapport annuel, veuillez contacter le département de communication financière et des relations investisseurs par e-mail à l'adresse : ir@attijariwafa.com."
Comment obtenir une copie du rapport de gestion ?,Vous pouvez obtenir une copie du rapport de gestion en contactant le département de communication financière et des relations investisseurs par e-mail à ir@attijariwafa.com.
Où puis-je obtenir une copie du rapport annuel ?,"Pour obtenir une copie du rapport annuel, veuillez contacter le département de communication financière et des relations investisseurs à l'adresse e-mail suivante : ir@attijariwafa.com."
Comment puis-je accéder au rapport de gestion ?,"Pour accéder au rapport de gestion, veuillez contacter le département de communication financière et des relations investisseurs à l'adresse e-mail suivante : ir@attijariwafa.com."
Comment puis-je me procurer le rapport annuel d'Attijariwafa Bank ?,Vous pouvez vous procurer le rapport annuel d'Attijariwafa Bank en contactant le département de communication financière et des relations investisseurs à l'adresse e-mail : ir@attijariwafa.com.
Où puis-je obtenir une copie du rapport de gestion d'Attijariwafa Bank ?,Vous pouvez obtenir une copie du rapport de gestion d'Attijariwafa Bank en contactant le département de communication financière et des relations investisseurs à l'adresse e-mail : ir@attijariwafa.com.
À quelle fréquence Attijariwafa Bank publie-t-elle ses résultats financiers ?,"Attijariwafa Bank publie ses résultats financiers trimestriellement, c'est-à-dire tous les trois mois (en mars, juin, septembre et décembre)."
Quand Attijariwafa Bank annonce-t-elle ses résultats financiers ?,"Les résultats financiers d'Attijariwafa Bank sont annoncés trimestriellement, tous les trois mois (en mars, juin, septembre et décembre)."
À quel intervalle Attijariwafa Bank communique-t-elle ses résultats financiers ?,"Attijariwafa Bank communique ses résultats financiers tous les trimestres, soit tous les trois mois (en mars, juin, septembre et décembre)."
À quelle fréquence Attijariwafa Bank publie ses résultats financiers ?,"Les résultats financiers d'Attijariwafa Bank sont publiés tous les trimestres, soit tous les trois mois (en mars, juin, septembre et décembre)."
Quand est-ce que Attijariwafa Bank publie ses résultats financiers ?,"Attijariwafa Bank publie ses résultats financiers tous les trimestres, c'est-à-dire tous les trois mois (en mars, juin, septembre et décembre)."
Quand est-ce que Attijariwafa Bank communique ses résultats financiers ?,"Attijariwafa Bank communique ses résultats financiers trimestriellement, tous les trois mois (en mars, juin, septembre et décembre)."
À quelle fréquence les résultats financiers d'Attijariwafa Bank sont-ils publiés ?,"Les résultats financiers d'Attijariwafa Bank sont publiés trimestriellement, soit tous les trois mois (en mars, juin, septembre et décembre)."
Quelle est la norme utilisée pour préparer les états financiers d'Attijariwafa Bank ?,Les états financiers consolidés d'Attijariwafa Bank ont été préparés conformément aux normes internationales d'information financière (IFRS) depuis le premier semestre 2007.
Selon quelle norme sont préparés les états financiers d'Attijariwafa Bank ?,Les états financiers consolidés d'Attijariwafa Bank sont préparés conformément aux normes internationales d'information financière (IFRS).
Quelle est la base de préparation des états financiers d'Attijariwafa Bank ?,Les états financiers consolidés d'Attijariwafa Bank sont préparés selon les normes internationales d'information financière (IFRS).
Quelle est la norme comptable utilisée pour les états financiers d'Attijariwafa Bank ?,Les états financiers consolidés d'Attijariwafa Bank sont préparés conformément aux normes internationales d'information financière (IFRS).
Sur quelle base sont préparés les états financiers d'Attijariwafa Bank ?,Les états financiers consolidés d'Attijariwafa Bank sont préparés selon les normes internationales d'information financière (IFRS).
Comment sont préparés les états financiers d'Attijariwafa Bank ?,Les états financiers consolidés d'Attijariwafa Bank sont préparés conformément aux normes internationales d'information financière (IFRS).
Quelle est la référence utilisée pour préparer les états financiers d'Attijariwafa Bank ?,Les états financiers consolidés d'Attijariwafa Bank sont préparés en conformité avec les normes internationales d'information financière (IFRS) depuis le premier semestre 2007.
Quelle devise est utilisée pour présenter les états financiers d'Attijariwafa Bank ?,La devise utilisée pour présenter les états financiers d'Attijariwafa Bank est le Dirham marocain (MAD).
Dans quelle devise sont exprimés les états financiers d'Attijariwafa Bank ?,Les états financiers d'Attijariwafa Bank sont exprimés en Dirham marocain (MAD).
Quelle est la monnaie de présentation des états financiers d'Attijariwafa Bank ?,La monnaie de présentation des états financiers d'Attijariwafa Bank est le Dirham marocain (MAD).
